dagiː	dagiːf	ADJ;PSS1S
sagdi		V;SPRL;FIN;IND;PL;1+EXCL;ACT
ilaniː	ilaniː	N;NOM;SG
aŋaďakoː	aŋaďakoːldulaː	N;TERM;PL
virtalot	virtalot	N;NOM;SG
ənəlŋə	ənəlŋə	ADJ;PSS2S
ʃiγun	ʃiγun	N;NOM;SG
unta	untarnun	N;COM;PL
ga	garə	V;FIN;IND;PL;3;PST;ACT
pəktiru	pəktirurəw	V;FIN;IND;PL;1+EXCL;PST;ACT
iśə	iśəkəldu	V;FIN;IMP;PL;2;ACT
nanmakta	nanmaktal	N;NOM;PL
naːŋmakta	naːŋmaktaduː	N;DAT;SG
omoːn	omoːnrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
wəki	wəkit	N;INS;SG
kapkaśi	kapkaśiŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ahiː	ahiːs	N;NOM;SG;PSS2S
dəg	dəgďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
tuganiː	tuganiːwə	N;ACC;DEF;SG
musu	musurən	V;FIN;IND;SG;3;PST;ACT
həgdi	həgdil	ADJ;PL
śuːkə	śuːkəlwə	N;ACC;DEF;PL
ďapda	ďapda	N;NOM;SG
ŋoːnimi	ŋoːnimil	ADJ;PL
kəŋiloː	kəŋiloːl	N;NOM;PL
virtaloťi	virtaloťi	N;NOM;SG
ďəwu		V;HAB;FIN;IND;PL;2;PST;ACT
buran	buran	N;NOM;SG
ŋənə	ŋənəďiktə	V;IPFV;FIN;IMP;SG;1;ACT
əniːn	əniːnwi	N;NOM;SG;PSSRS
togo	togoduː	N;DAT;SG
tiksa	tiksaldiwər	N;INS;PL;PSSRP
dawi	dawilďi	N;INS;PL
ďuːtaː	ďuːtaːďəŋoːt	V;IPFV;FIN;IMP;PL;1+INCL;ACT
kuŋakaː	kuŋakaːlwə	N;ACC;DEF;PL
klara	klara	N;NOM;SG
ďan	ďanduk	N;ABL;SG
prezidənt	prezidənt	N;NOM;SG
əruː	əruː	ADJ
hərəkə	hərəkəmar	N;NOM;CMPR;SG
gun	gunďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
ŋənə	ŋənəďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
suglan	suglanlaː	N;TERM;SG
moːtiːkuːn	moːtiːkuːn	N;NOM;SG
toγo	toγot	N;INS;SG
ja	ja	N;NOM;SG
bi	birəw	V;FIN;IND;PL;1+EXCL;PST;ACT
buriː	buriːkəldu	V;FIN;IMP;PL;2;ACT
ɲuŋun	ɲuŋunduː	N;DAT;SG
bəjŋoː	bəjŋoː	N;NOM;SG
bəjə	bəjəduː	N;DAT;SG
ŋaːlə		N;ABL;PL;PSS1S
həraŋi	həraŋilwə	N;ACC;DEF;PL
ətets	ətets	N;NOM;SG
darkin	darkinliː	N;PROL;SG
soliːlaː	soliːlaː	N;NOM;SG
śergejif	śergejif	N;NOM;SG
ŋinaki	ŋinakilwi	N;NOM;PL;PSS1S
ďapkun	ďapkunlaː	N;TERM;SG
əmə	əmərən	V;FIN;IND;SG;3;PST;ACT
ďaw	ďawwər	N;SG;PSSRP+ACC
wibari	wibaril	N;NOM;PL
bi	birən	V;FIN;IND;SG;3;PST;ACT
amin	aminwər	N;SG;PSSRP+ACC
boroŋkon	boroŋkon	N;NOM;SG
a	aďəŋkiːtin	V;IPFV;FIN;IND;PL;3;PST+RMT;ACT
ŋənə	ŋənəďakal	V;IPFV;FIN;IMP;SG;2;ACT
moːlkə		V;DUR;IPFV;FIN;IND;SG;1;PRS;PASS
əjəː	əjəːhinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
hawal	hawalďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
nevəďili	nevəďili	N;NOM;SG
ɲəkə	ɲəkərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ďawaptun	ďawaptun	N;NOM;SG
lihat͡ʃow	lihat͡ʃownun	N;COM;SG
tuːruːm	tuːruːmďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
aha	ahalin	N;NOM;PL;PSS3S
stado	stadoduːwun	N;DAT;SG;PSS1PE
haŋuːkt͡ʃa	haŋuːkt͡ʃaďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
uďa	uďalaːn	N;TERM;SG;PSS3S
virtolot	virtolot	N;NOM;SG
hoktə	hoktəwər	N;SG;PSSRP+ACC
oro	orolduliː	N;PROL;PL
puʃnomehowoj	puʃnomehowojduː	N;DAT;SG
mi	mi	N;NOM;SG
waː	waːrən	V;FIN;IND;SG;3;PST;ACT
ďu	ďulaːji	N;TERM;SG;PSSRS
haŋukta	haŋuktam	V;FIN;IND;SG;1;PST;ACT
logiː	logiːrən	V;FIN;IND;SG;3;PST;ACT
əɲokə	əɲokənun	N;COM;SG
ďukt͡ʃa	ďukt͡ʃaduːwər	N;DAT;SG;PSSRP
ďuː	ďuːduːwər	N;DAT;SG;PSSRP
hilki	hilkiďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
kilomətər	kilomətər	N;NOM;SG
doːldi	doːldiďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
ozəro	ozəro	N;NOM;SG
guː	guːrə	V;FIN;IND;PL;3;PST;ACT
til	tilrə	V;FIN;IND;PL;3;PST;ACT
maŋiː	maŋiːl	N;NOM;PL
orokoː	orokoːlwə	N;ACC;DEF;PL
ama	amawun	V;FIN;IND;PL;1+EXCL;ACT
siŋilgən	siŋilgən	N;NOM;SG
aja		ADJ;DAT;SG
iɲiːp	iɲiːpďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
huŋtu		ADJ;PSSRS
pəktiruː	pəktiruːrə	V;FIN;IND;PL;3;PST;ACT
əmə	əməďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
ŋəni	ŋənin	N;NOM;SG;PSS3S
girku	girkurən	V;FIN;IND;SG;3;PST;ACT
luporoː	luporoːrən	V;FIN;IND;SG;3;PST;ACT
ɲina	ɲina	N;NOM;SG
ďuː	ďuː	N;NOM;SG
kəməďisə	kəməďisə	ADJ
uśitnaːďi	uśitnaːďiəl	V;FIN;IND;PL;ACT
əmə	əməďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
ŋənə	ŋənərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
iɲ	iɲďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
goroloː	goroloːwə	N;ACC;DEF;SG
həgdi	həgdi	ADJ
selhosťehɲikum	selhosťehɲikum	N;NOM;SG
hot͡ʃ	hot͡ʃ	N;NOM;SG
dəγi	dəγirən	V;FIN;IND;SG;3;PST;ACT
bultana	bultanahinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
gələːktənəː	gələːktənəːhinďəŋoːw	V;SEMEL;FIN;IND;SG;1;FUT;ACT
əɲiː	əɲiːwə	N;ACC;DEF;SG
amar	amarduːn	N;DAT;SG;PSS3S
ďagda	ďagdaduː	N;DAT;SG
alaguːmniː	alaguːmniːt	N;INS;SG
saŋaːr	saŋaːrwə	N;ACC;DEF;SG
turumnəː	turumnəːŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
giramda	giramdalďi	N;INS;PL
mundukan	mundukan	N;NOM;SG
bultahikta	bultahiktaduːn	N;DAT;SG;PSS3S
inti	intikəl	V;FIN;IMP;SG;2;ACT
nidələ	nidələwə	N;ACC;DEF;SG
moːtiːtkoːn	moːtiːtkoːn	N;NOM;SG
zimowjo	zimowjotkiː	N;ALL;SG
aśin	aśin	V;FIN;IND;ACT
bəjə	bəjəŋilwəm	N;ACC;DEF;PL;ALN+PSS1S
oɲo	oɲo	N;NOM;SG
toγo	toγowun	V;FIN;IND;PL;1+EXCL;ACT
bəjə	bəjəlwə	N;ACC;DEF;PL
əmə	əməŋnərəw	V;HAB;FIN;IND;PL;1+EXCL;PST;ACT
ajaː	ajaːlduliː	N;PROL;PL
ganat	ganat	N;NOM;SG
tətiː	tətiːlwi	N;PL;PSSRS+ACC
t͡ʃurgiː	t͡ʃurgiːďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
haːki	haːkilwatin	N;ACC;DEF;PL;PSS3P
bulta	bultaŋkiːw	V;FIN;IND;SG;1;PST+RMT;ACT
sewer	sewertkiː	N;ALL;SG
kalakat͡ʃaːn	kalakat͡ʃaːn	N;NOM;SG
umukkoː	umukkoːl	ADJ;PL
bolʃə	bolʃə	N;NOM;SG
abligatsə	abligatsəlwə	N;ACC;DEF;PL
əmə	əmərə	V;FIN;IND;PL;3;PST;ACT
həgdiŋo	həgdiŋo	ADJ
wrak	wrak	N;NOM;SG
ami	aminun	N;COM;SG
irgiː	irgiːďərə	V;FIN;IND;PL;3;FUT+IMMED;ACT
ər	ərrə	V;FIN;IND;PL;3;PST;ACT
soliː	soliːgit	N;IN+ABL;SG
kolədʒ	kolədʒwə	N;ACC;DEF;SG
gogo	gogorə	V;FIN;IND;PST;ACT
həgdiŋəmi	həgdiŋəmi	ADJ
huru	huruŋkiːw	V;FIN;IND;SG;1;PST+RMT;ACT
sərkəw	sərkəwduː	N;DAT;SG
ŋinaki	ŋinakiltin	N;NOM;PL;PSS3P
haː	haːrə	V;FIN;IND;PST;ACT
bələ		V;FIN;IND;SG;3;PST+RMT;CAUS;ACT
hoːŋnaː	hoːŋnaːďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
ila	ilarən	V;FIN;IND;SG;3;PST;ACT
dundə	dundəltikiː	N;ALL;PL
əɲokə	əɲokəlwun	N;NOM;PL;PSS1PE
həwəkiː	həwəkiːlaː	N;TERM;SG
ďəb	ďəbďəŋoːn	V;FIN;IND;SG;3;FUT;ACT
armija	armijaduː	N;DAT;SG
ər	ərrən	V;FIN;IND;SG;3;PST;ACT
oldoko	oldokolə	N;ACC;INDF;PL
dəgilməːktə	dəgilməːktəl	N;NOM;PL
amin	amin	N;NOM;SG
akin	akinw	N;NOM;SG;PSS1S
nulgiː	nulgiːďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
ajaːwriː	ajaːwriː	ADJ
bultaγit	bultaγit	ADJ
sogdonno	sogdonnoduː	N;DAT;SG
kuwrik	kuwrikduː	N;DAT;SG
hoːksələːn	hoːksələːn	ADJ
ham	hamrə	V;FIN;IND;PL;3;PST;ACT
əniː	əniː	N;NOM;SG
girkumat	girkumat	ADJ
oloki	olokit	N;INS;SG
saďik	saďikduː	N;DAT;SG
iltəni	iltənim	V;FIN;IND;SG;1;PST;ACT
hogdiŋo	hogdiŋo	ADJ
ďurməːnďi	ďurməːnďi	ADJ
ɲama	ɲamajə	N;ACC;INDF;SG
amaːkaː	amaːkaːwə	N;ACC;DEF;SG
əpti	əptihinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
huru	huruďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
tuksa	tuksarə	V;FIN;IND;PL;3;PST;ACT
t͡ʃajti	t͡ʃajtirəw	V;FIN;IND;PL;1+EXCL;PST;ACT
ɲiŋtə		N;ACC;DEF;PL;ALN+PSS3P
məsto	məstoji	N;SG;PSSRS+ACC
girku	girkuďə	V;IPFV;FIN;IND;ACT
ulguson	ulgusonďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
əŋnəkoː	əŋnəkoːlwə	N;ACC;DEF;PL
iŋini	iŋinin	N;NOM;SG;PSS3S
ďujapt͡ʃu	ďujapt͡ʃulwə	N;ACC;DEF;PL
janwar	janwar	N;NOM;SG
omoː	omoːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
olgiː	olgiːďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
duː	duːlaːwər	N;TERM;SG;PSSRP
ahi	ahinun	N;COM;SG
irgi	irgiďərə	V;FIN;IND;PL;3;FUT+IMMED;ACT
huju	hujul	ADJ;PL
kolhos	kolhosduː	N;DAT;SG
udigir	udigir	N;NOM;SG
əbəːj	əbəːj	N;NOM;SG
vətəran	vətəran	N;NOM;SG
nəkuː	nəkuːw	N;NOM;SG;PSS1S
mudaka	mudakaltin	N;NOM;PL;PSS3P
hoːgin	hoːginrən	V;FIN;IND;SG;3;PST;ACT
tigə	tigəldə	V;FIN;IND;PL;2;ACT
ʃukʃilrə	ʃukʃilrəwə	N;ACC;DEF;SG
staːdo	staːdoduk	N;ABL;SG
duləːməː	duləːməːrən	V;FIN;IND;SG;3;PST;ACT
poruh	poruhwə	N;ACC;DEF;SG
martə	martəlaː	N;TERM;SG
toγo	toγotkiː	N;ALL;SG
ɲəkə	ɲəkəďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
tirgaɲiː	tirgaɲiːwə	N;ACC;DEF;SG
aŋaɲiːśiː	aŋaɲiːśiː	ADJ
kanskij	kanskij	N;NOM;SG
ŋinaki	ŋinakilwə	N;ACC;DEF;PL
ə	əďam	V;FIN;IND;PSS1S;FUT+IMMED;ACT
biraja	birajan	V;FIN;IND;SG;3;ACT
akir	akirw	N;NOM;SG;PSS1S
moːla	moːlaďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
heː	heːlwatin	N;ACC;DEF;PL;PSS3P
ɲimok	ɲimokduːwər	N;DAT;SG;PSSRP
tətiγəː	tətiγəːlon	N;ACC;INDF;PL;PSS3S
bəjətka	bəjətkal	N;NOM;PL
śədmoj	śədmojduː	N;DAT;SG
nəŋə	nəŋəďəďən	V;IPFV;FIN;IND;SG;3;FUT+IMMED;ACT
eː	eː	N;NOM;SG
oː	oːŋnəm	V;HAB;FIN;IND;SG;1;PST;ACT
kiləmetra	kiləmetra	N;NOM;SG
ga	gaďəŋkiːtin	V;IPFV;FIN;IND;PL;3;PST+RMT;ACT
ugu	uguduː	N;DAT;SG
dəgi	dəgi	N;NOM;SG
əmə	əməwoːt	V;FIN;IMP;PL;1+INCL;ACT
əɲiː	əɲiːtin	N;NOM;SG;PSS3P
oː	oːkəldu	V;FIN;IMP;PL;2;ACT
hujukuːn	hujukuːndukpi	N;ABL;SG;PSSRS
səktələďək		V;ACC;DEF;FIN;IND;PSS3P;ACT
bi	birə	V;FIN;IND;PL;3;PST;ACT
oldo	oldojə	N;ACC;INDF;SG
bi	birən	V;FIN;IND;SG;3;PST;ACT
umuːnup		V;FIN;IMP+RMT;PL;2;ACT
ɲi	ɲi	N;NOM;SG
talu	taluduː	N;DAT;SG
oro	orolwə	N;ACC;DEF;PL;PSS1S
səktə	səktəlwə	N;ACC;DEF;PL
gə	gəŋif	N;NOM;SG;ALN+PSS1S
girki	girkitin	N;NOM;SG;PSS3P
suru	suruďərə	V;FIN;IND;PL;3;FUT+IMMED;ACT
bargidaː	bargidaːduː	N;DAT;SG
tundrə	tundrəlaː	N;TERM;SG
bi	birə	V;FIN;IND;PL;3;PST;ACT
ekspeditija	ekspeditijalduː	N;DAT;PL
goro	goro	ADJ
kuŋaːkaː	kuŋaːkaːl	N;NOM;PL
naparniki	naparnikilwi	N;PL;PSSRS+ACC
əmə	əmərən	V;FIN;IND;SG;3;PST;ACT
haktiraː	haktiraːrən	V;FIN;IND;SG;3;PST;ACT
doː	doː	V;FIN;IND;ACT
kətə	kətəjə	N;ACC;INDF;SG
gələːktə	gələːktərən	V;FIN;IND;SG;3;PST;ACT
lurgi	lurgirən	V;FIN;IND;SG;3;PST;ACT
ilmakta	ilmaktalwə	N;ACC;DEF;PL
haŋkə	haŋkəlwi	N;PL;PSSRS+ACC
ďoro	ďorotpi	N;INS;SG;PSSRS
əɲiː	əɲiːduː	N;DAT;SG
bira	biralaː	N;TERM;SG
jaŋ	jaŋlaː	N;TERM;SG
dariski	dariski	N;NOM;SG
amaːkaː	amaːkaː	N;NOM;SG
uji	ujiwoːt	V;FIN;IMP;PL;1+INCL;ACT
til	tilrə	V;FIN;IND;PL;3;PST;ACT
ila		V;DUR;HAB;FIN;IMP;PL;2;ACT
aťets	aťets	N;NOM;SG
ʃo	ʃo	ADJ
ďawa	ďawarəw	V;FIN;IND;PL;1+EXCL;PST;ACT
hərəlgəːn	hərəlgəːnwə	N;ACC;DEF;SG
towuli	towulinun	N;COM;SG
bargidaː	bargidaːlaːn	N;TERM;SG;PSS3S
aːnŋə	aːnŋəduːwər	N;DAT;SG;PSSRP
bi	birə	V;FIN;IND;PL;3;PST;ACT
ismiɲi	ismiɲi	N;NOM;SG
ŋənə	ŋənərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
təγə	təγəśimɲː	V;DUR;FIN;IND;ACT
amiːn	amiːnduːw	N;DAT;SG;PSS1S
staːdo	staːdolaː	N;TERM;SG
istanoki	istanokil	N;NOM;PL
aŋa	aŋawran	V;FIN;IND;SG;3;PST;PASS
ďu	ďujə	N;ACC;INDF;SG
ə	əďəndə	V;FIN;IND;SG;2;FUT+IMMED;ACT
sarśikan	sarśikanwə	N;ACC;DEF;SG
homoːtiː	homoːtiːjoj	N;VOC;SG
girku	girkuŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
urə	urəlaː	N;TERM;SG
hawal	hawalďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
talu	talulduktin	N;ABL;PL;PSS3P
oː	oːrə	V;FIN;IND;PST;ACT
doːldiː	doːldiːŋkiːw	V;FIN;IND;SG;1;PST+RMT;ACT
dil	dilγiďn	N;IN+ABL;SG;PSS3S
koŋnomo	koŋnomo	ADJ
dulin	dulin	N;NOM;SG
hunti	huntil	ADJ;PL
amini	aminin	N;NOM;SG;PSS3S
alba	albarəw	V;FIN;IND;PL;1+EXCL;PST;ACT
heːktakaː	heːktakaːlwə	N;ACC;DEF;PL
irəksə	irəksət	N;INS;SG
haːrgi	haːrgildulaː	N;TERM;PL
tərgəksə	tərgəksəlwatin	N;ACC;DEF;PL;PSS3P
vasiljəvna	vasiljəvna	N;NOM;SG
beːga	beːga	N;NOM;SG
hokto	hoktowə	N;ACC;DEF;SG
iruː	iruːďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
ďaďa	ďaďanunmi	N;COM;SG;PSSRS
həgdi	həgdilaːtin	N;TERM;SG;PSS3P
ŋəkə	ŋəkəm	V;FIN;IND;SG;1;PST;ACT
pensijə	pensijəduːji	N;DAT;SG;PSSRS
tuγaɲiː	tuγaɲiːduː	N;DAT;SG
bu	burən	V;FIN;IND;SG;3;PST;ACT
oro	orolduː	N;DAT;PL
adil	adiljawar	N;ACC;INDF;SG;PSSRP
bəjŋoː	bəjŋoːl	N;NOM;PL
əŋnəkəː	əŋnəkəːl	N;NOM;PL
əriː	əriːγin	V;FIN;IMP;SG;3;ACT
dur	dur	N;NOM;SG
rewolutśija	rewolutśija	N;NOM;SG
əntil	əntiltin	N;NOM;SG;PSS3P
mudani	mudaniŋif	N;NOM;SG;ALN+PSS1S
ďuganiː	ďuganiːwə	N;ACC;DEF;SG
ďu	ďuduːwər	N;DAT;SG;PSSRP
ďəptəl	ďəptəl	N;NOM;SG
ďəw		V;HAB+IPFV;FIN;IND;PL;2;PRS;ACT
kolan	kolannun	N;COM;SG
oha	ohalwə	N;ACC;DEF;PL
isə		V;FIN;IND;SG;2;FUT+IMMED;CAUS;ACT
hujukuː	hujukuːldukwər	N;ABL;PL;PSSRP
uγu	uγutkiː	N;ALL;SG
ələːkəːn	ələːkəːnn	ADJ;PSS3S
kiŋgiloːn	kiŋgiloːn	N;NOM;SG
rot	rotduː	N;DAT;SG
nulgiː	nulgiːhinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
ətirkoːn	ətirkoːnduːji	N;DAT;SG;PSSRS
bər	bərji	N;SG;PSSRS+ACC
oldoː	oldoːlwə	N;ACC;DEF;PL
anŋaɲiː	anŋaɲiːwə	N;ACC;DEF;SG
dilasa	dilasa	N;NOM;SG
bagatiji	bagatijil	ADJ;PL
fśu	fśu	ADJ
huŋta	huŋta	ADJ
amtil	amtilnun	N;COM;SG
muː	muːwə	N;ACC;DEF;SG
ďuː	ďuːlduːtin	N;DAT;PL;PSS3P
don	donťaďm	V;STAT;IPFV;FIN;IND;SG;1;PRS;ACT
dəginti	dəginti	ADJ
huɲiː	huɲiːlin	N;NOM;PL;PSS3S
t͡ʃemo	t͡ʃemo	N;NOM;SG
huŋtuki	huŋtuki	ADJ
tərgəksə	tərgəksəlwatin	N;ACC;DEF;PL;PSS3P
ir	irmar	N;NOM;CMPR;SG
ďawa	ďawaďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
biːwun	biːwun	N;NOM;SG
əksə	əksəŋkiːtin	V;FIN;IND;PL;3;PST+RMT;ACT
siksiŋa	siksiŋalwə	N;ACC;DEF;PL
irgiʃi	irgiʃilwun	N;NOM;PL;PSS1PE
in	inďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
ďa	ďalduːwi	N;DAT;PL;PSSRS
ila	ilattən	V;DUR;FIN;IND;SG;3;PST;ACT
əːs	əːsrən	V;FIN;IND;SG;3;PST;ACT
hitəːn	hitəːnwə	N;ACC;DEF;SG
it͡ʃə		V;DUR+SEMEL;FIN;IND;SG;1;PST;ACT
bi	biďəp	V;FIN;IND;PL;1+INCL;FUT+IMMED;ACT
habəl	habəl	N;NOM;SG
togo	togowun	N;NOM;SG;PSS1PE
ɲimŋakaːnmə	ɲimŋakaːnmə	ADJ
talaka	talakaďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
ribakil	ribakilrən	V;FIN;IND;SG;3;PST;ACT
uγut͡ʃak	uγut͡ʃakduː	N;DAT;SG
ədi	ədiduːji	N;DAT;SG;PSSRS
o	oďəŋoːːtin	V;FIN;IND;PL;3;FUT;ACT
amin	aminwan	N;ACC;DEF;SG;PSS3S
adiːraː	adiːraː	V;FIN;IND;ACT
palatka	palatkalaː	N;TERM;SG
tiksa	tiksawə	N;ACC;DEF;SG
puruliwun	puruliwunji	N;SG;PSSRS+ACC
uːt͡ʃak	uːt͡ʃakjan	N;ACC;INDF;SG;PSS3S
atirkaːn	atirkaːnwə	N;ACC;DEF;SG
kuːkti	kuːktirən	V;FIN;IND;SG;3;PST;ACT
ahami	ahamil	N;NOM;PL
wojna	wojna	N;NOM;SG
iɲ	iɲďit͡ʃoːwun	V;IPFV;FIN;IND;PL;1+EXCL;PST;ACT
alagu	alaguďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
o	oďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
an	angit	N;IN+ABL;SG
tirganiː	tirganiː	N;NOM;SG
haruːkka	haruːkkal	N;NOM;PL
armija	armijawə	N;ACC;DEF;SG
oron	oronjə	N;ACC;INDF;SG
haːrgi	haːrgiduː	N;DAT;SG
ənə	ənə	N;NOM;SG
iːkəːriː	iːkəːriːwan	N;ACC;DEF;SG;PSS3S
əŋnəko	əŋnəkolduː	N;DAT;PL
iɲ	iɲďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
hukti	huktirən	V;FIN;IND;SG;3;PST;ACT
papal	papalrən	V;FIN;IND;SG;3;PST;ACT
buktarani	buktaranim	V;FIN;IND;SG;1;PST;ACT
namaː	namaːrə	V;FIN;IND;PL;3;PST;ACT
hutə	hutəduː	N;DAT;SG
ribzəvod	ribzəvodduː	N;DAT;SG
əmkə	əmkəduː	N;DAT;SG
oldo	oldolwə	N;ACC;DEF;PL
huru	huruďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
halga		N;INS;PL;PSS1S
tətiγə	tətiγəlwə	N;ACC;DEF;PL
təgə	təgərə	V;FIN;IND;PL;3;PST;ACT
hərmə	hərməlduː	N;DAT;PL
ɲəkə	ɲəkərəw	V;FIN;IND;PL;1+EXCL;PST;ACT
idəhəti		V;DUR+SEMEL;FIN;IND;PL;1+EXCL;PST+RMT;ACT
kəŋiloːn	kəŋiloːn	N;NOM;SG
ojogir	ojogir	N;NOM;SG
mukoːto	mukoːton	N;NOM;SG;PSS3S
kurəː	kurəːlaːw	N;TERM;SG;PSS1S
haktiraː	haktiraːduː	N;DAT;SG
ikoː	ikoːwoːt	V;FIN;IMP;PL;1+INCL;ACT
bəjə	bəjəŋiltin	N;NOM;PL;ALN+PSS3P
ďu	ďulaːwər	N;TERM;SG;PSSRP
girku	girkuďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
kəŋginə	kəŋginərən	V;FIN;IND;SG;3;PST;ACT
howos	howoswətin	N;ACC;DEF;SG;PSS3P
ɲaŋta	ɲaŋtal	N;NOM;PL
təγə	təγərən	V;FIN;IND;SG;3;PST;ACT
amar	amarliːwun	N;PROL;SG;PSS1PE
norma	norma	N;NOM;SG
ďiko	ďikoďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
tsəntralka	tsəntralkadukpi	N;ABL;SG;PSSRS
gərbiː	gərbiːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
gogo	gogoďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
bi	biəw	V;FIN;COND;SG;1;ACT
hələ	hələlwə	N;ACC;DEF;PL
muːliː	muːliːŋnəďoːw	V;HAB;FIN;IND;SG;1;FUT;ACT
kərt͡ʃimə	kərt͡ʃiməŋiltin	N;NOM;PL;ALN+PSS3P
gorokon	gorokonwə	N;ACC;DEF;SG
ami	ami	N;NOM;SG
zajafka	zajafkajə	N;ACC;INDF;SG
bi	biŋkiːn	V;FIN;IND;PST+RMT;ACT
əɲi	əɲiw	N;NOM;SG;PSS1S
gənnoː	gənnoːhinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
tumɲina		N;INS;SG;PSS3S
ga	gaďəŋoːs	V;FIN;IND;SG;2;FUT;ACT
tukʃa	tukʃamt͡ʃa	V;FIN;COND;ACT
prəʃol	prəʃol	N;NOM;SG
iɲəktə	iɲəktəďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
ɲuŋun	ɲuŋunwə	N;ACC;DEF;SG
ɲorma	ɲorma	N;NOM;SG
majgu	majgulwə	N;ACC;DEF;PL
olgiː	olgiːktə	V;FIN;IMP;SG;1;ACT
tutont͡ʃanə	tutont͡ʃanəduː	N;DAT;SG
hawa	hawajaji	N;ACC;INDF;SG;PSSRS
agiː	agiːlaː	N;TERM;SG
obeda	obedat	N;INS;SG
sergejew	sergejew	N;NOM;SG
abdun	abdunwə	N;ACC;DEF;SG
dulapti	dulaptilwan	N;ACC;DEF;PL;PSS3S
joːkə	joːkərə	V;FIN;IND;PL;3;PST;ACT
opiti	opitiw	N;NOM;SG;PSS1S
iŋin	iŋin	N;NOM;SG
bulta	bultaŋkiːn	V;FIN;IND;PST+RMT;ACT
ďərewɲə	ďərewɲəlaː	N;TERM;SG
it͡ʃə	it͡ʃətt͡ʃəm	V;DUR;FIN;IND;SG;1;FUT+IMMED;ACT
girku	girkuďət͡ʃoːn	V;IPFV;FIN;IND;SG;3;PST;ACT
ini	iniktin	V;FIN;IMP;PL;3;ACT
tuŋa	tuŋawə	N;ACC;DEF;SG
ɲamapt͡ʃu	ɲamapt͡ʃujə	ADJ;ACC;INDF
irəkśə	irəkśəlduː	N;DAT;PL
t͡ʃipkaːn	t͡ʃipkaːn	N;NOM;SG
ratsija	ratsijat	N;INS;SG
molda	moldahinən	V;SEMEL;FIN;IND;SG;3;PST;ACT
gələːktənaː	gələːktənaːďakal	V;IPFV;FIN;IMP;SG;2;ACT
t͡ʃiːwaː	t͡ʃiːwaːďən	V;IPFV;FIN;IND;SG;3;FUT;ACT
ŋələfśi	ŋələfśi	ADJ
iː	iːrən	V;FIN;IND;SG;3;PST;ACT
hamaːn	hamaːn	N;NOM;SG
dulin	dulinduːn	N;DAT;SG;PSS3S
hilba		V;DUR;FIN;IND;PSS1S;FUT;ACT
tehnikum	tehnikumduː	N;DAT;SG
